epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1449.95,1.1304,0.62471,1.22893,0.93855,0.91981,0.97242,0.63985,1.19932,0.63632,1.25444,0.00175716,0.00175716,0.00175716
43,1484.48,1.12697,0.62601,1.22706,0.94783,0.9174,0.97407,0.64105,1.19621,0.60697,1.255,0.00174571,0.00174571,0.00174571
44,1519.03,1.13396,0.62116,1.23188,0.93257,0.9094,0.96365,0.62413,1.23345,0.67338,1.27812,0.00173404,0.00173404,0.00173404
45,1553.46,1.13992,0.62597,1.24255,0.94474,0.93235,0.97348,0.63014,1.25882,0.59873,1.29582,0.00172215,0.00172215,0.00172215
46,1587.92,1.13508,0.62374,1.24196,0.93507,0.91238,0.96761,0.61657,1.24925,0.6553,1.28752,0.00171004,0.00171004,0.00171004
47,1622.37,1.12096,0.62268,1.22859,0.9259,0.93264,0.97308,0.62692,1.23411,0.62201,1.24448,0.00169771,0.00169771,0.00169771
48,1656.84,1.10824,0.59674,1.21275,0.93082,0.90617,0.9658,0.63319,1.23446,0.64645,1.28706,0.00168518,0.00168518,0.00168518
49,1691.27,1.11929,0.61488,1.22574,0.93437,0.92472,0.96957,0.62694,1.23975,0.64603,1.28212,0.00167244,0.00167244,0.00167244
50,1725.71,1.11865,0.58872,1.21915,0.94548,0.91778,0.97037,0.63843,1.22016,0.59831,1.26778,0.0016595,0.0016595,0.0016595
51,1760.08,1.11948,0.60282,1.24379,0.93195,0.93349,0.97189,0.62671,1.24372,0.6005,1.30747,0.00164636,0.00164636,0.00164636
52,1794.5,1.11793,0.60452,1.23413,0.93551,0.90736,0.96517,0.63155,1.22044,0.62935,1.27735,0.00163303,0.00163303,0.00163303
53,1828.89,1.11213,0.59944,1.21804,0.93427,0.92327,0.97236,0.62998,1.24406,0.61444,1.29069,0.0016195,0.0016195,0.0016195
54,1863.3,1.08921,0.59887,1.22292,0.93116,0.92622,0.97012,0.62467,1.23838,0.63128,1.29082,0.0016058,0.0016058,0.0016058
55,1897.63,1.09434,0.60303,1.21845,0.9417,0.90938,0.9731,0.63504,1.21785,0.62378,1.27648,0.00159191,0.00159191,0.00159191
