epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1248.99,1.15967,0.64557,1.22047,0.90983,0.89887,0.9587,0.6171,1.22609,0.64374,1.25071,0.0014588,0.0014588,0.0014588
43,1278.58,1.14441,0.65209,1.2132,0.93513,0.90647,0.96219,0.61592,1.23173,0.66979,1.28407,0.0014456,0.0014456,0.0014456
44,1308.22,1.13014,0.63275,1.21609,0.91831,0.88357,0.95897,0.60444,1.23607,0.67924,1.3099,0.0014324,0.0014324,0.0014324
45,1337.84,1.13848,0.63202,1.2329,0.91911,0.91299,0.96193,0.60773,1.2796,0.66899,1.30607,0.0014192,0.0014192,0.0014192
46,1367.44,1.13279,0.6467,1.21043,0.91597,0.933,0.96821,0.61265,1.26178,0.66819,1.2985,0.001406,0.001406,0.001406
47,1397.07,1.13725,0.64809,1.22948,0.93192,0.91179,0.96287,0.61346,1.26523,0.64853,1.30802,0.0013928,0.0013928,0.0013928
48,1426.69,1.13117,0.62815,1.21042,0.9089,0.93238,0.96237,0.62222,1.25302,0.63989,1.28939,0.0013796,0.0013796,0.0013796
49,1456.32,1.13512,0.62728,1.21155,0.93381,0.90393,0.9611,0.62081,1.25868,0.64033,1.31159,0.0013664,0.0013664,0.0013664
50,1486.13,1.09906,0.59747,1.2055,0.92047,0.90044,0.96156,0.62395,1.20971,0.65654,1.30636,0.0013532,0.0013532,0.0013532
51,1515.91,1.1159,0.61847,1.22243,0.93057,0.87511,0.95283,0.60655,1.26946,0.66375,1.31743,0.00134,0.00134,0.00134
52,1545.58,1.12072,0.62025,1.20981,0.91161,0.91879,0.95629,0.61699,1.21894,0.64963,1.27711,0.0013268,0.0013268,0.0013268
53,1575.3,1.11873,0.62233,1.20038,0.9217,0.9179,0.96178,0.61722,1.23443,0.65212,1.29021,0.0013136,0.0013136,0.0013136
54,1605.06,1.11393,0.60775,1.21021,0.93313,0.90044,0.95836,0.61131,1.26949,0.63135,1.32142,0.0013004,0.0013004,0.0013004
55,1634.84,1.10716,0.61912,1.20092,0.91755,0.9214,0.96047,0.61947,1.24319,0.63599,1.30552,0.0012872,0.0012872,0.0012872
56,1664.56,1.08527,0.60543,1.20574,0.92372,0.9214,0.96687,0.61374,1.26507,0.62533,1.31936,0.001274,0.001274,0.001274
57,1694.36,1.09548,0.60262,1.19278,0.93336,0.91744,0.97119,0.61978,1.25362,0.63042,1.29927,0.0012608,0.0012608,0.0012608
58,1724.12,1.0803,0.58033,1.19625,0.92067,0.91878,0.96032,0.62151,1.24606,0.60648,1.31438,0.0012476,0.0012476,0.0012476
59,1753.84,1.09052,0.59643,1.19126,0.92176,0.9157,0.96296,0.61984,1.24235,0.61776,1.29264,0.0012344,0.0012344,0.0012344
60,1783.6,1.09197,0.59518,1.20351,0.93589,0.91528,0.96619,0.619,1.25108,0.62167,1.29343,0.0012212,0.0012212,0.0012212
61,1813.37,1.08829,0.58707,1.19492,0.94463,0.89432,0.95994,0.62514,1.2134,0.65705,1.28342,0.001208,0.001208,0.001208
62,1843.09,1.08735,0.58122,1.19572,0.93034,0.91004,0.96824,0.619,1.23839,0.6326,1.31263,0.0011948,0.0011948,0.0011948
63,1872.77,1.08362,0.58093,1.19509,0.90433,0.91616,0.96094,0.62183,1.22122,0.64336,1.29269,0.0011816,0.0011816,0.0011816
64,1902.45,1.07151,0.59133,1.2008,0.92816,0.91394,0.9669,0.62179,1.23,0.66458,1.32711,0.0011684,0.0011684,0.0011684
65,1932.13,1.08121,0.57079,1.20582,0.92446,0.91878,0.96808,0.61774,1.25679,0.62637,1.29743,0.0011552,0.0011552,0.0011552
66,1961.82,1.07864,0.58001,1.19375,0.9363,0.9114,0.96735,0.62441,1.23183,0.62311,1.30253,0.001142,0.001142,0.001142
